systemove_cislo;druh_dokumentu;autori;autori_puvodni;nazev;zdroj_dok;cislovani;isbn;issn;if;projekt;vz;rvo;odevzdani_riv;rok_vydani;rok_sberu;vlastnik;interni_kod;technicke_parametry;ekonomicke_parametry;cislo_patentoveho_spisu;vlastnik_patentu;doi;wos;pubmed;scopus
0557038;V;"Berec, L. - Diviák, T. - Kuběna, Aleš Antonín - Levínský, René - Neruda, Roman - Suchopárová, Gabriela - Šlerka, J. - Šmíd, Martin - Tuček, V. - Vidnerová, Petra - Zajíček, Milan - Zapletal, František";;"Model-M: An agent-based epidemic model of a middle-sized municipality";;;;;;"TL04000282:GA TA ČR";;"RVO:67985807, RVO:67985556";;2022;2023;UIVT-O;;;;;;10.1101/2021.05.13.21257139;;;
0559305;J;"Berec, Luděk - Smyčka, J. - Levínský, René - Hromádková, Eva - Šoltés, Michal - Šlerka, J. - Tuček, V. - Trnka, J. - Šmíd, Martin - Zajíček, Milan - Diviák, T. - Neruda, Roman - Vidnerová, Petra";;"Delays, Masks, the Elderly, and Schools: First Covid-19 Wave in the Czech Republic";"Bulletin of Mathematical Biology";"Roč. 84, č. 8 (2022)";;0092-8240;3.500;"EF16_013/0001740:GA MŠk";;"RVO:60077344, RVO:67985556, RVO:67985807, RVO:67985998";1;2022;2023;BC-A;;;;;;10.1007/s11538-022-01031-5;000813728300001;35726074;85132189903
0548125;L4;"Berec, Luděk - Diviák, T. - Kuběna, Aleš Antonín - Levínský, René - Neruda, Roman - Suchopárová, Gabriela - Šlerka, J. - Šmíd, Martin - Trnka, Jan - Tuček, Vít - Vidnerová, Petra - Vrbenský, Karel - Zajíček, Milan - Zapletal, František";;Epicity;;;;;;"TL04000282:GA TA ČR";;"RVO:67985807, RVO:67985556, RVO:67985998";1;2021;2022;UIVT-O;Epicity;"The program requires a Linux machine with python 3, and it runs from command line interface. Configuration files for typical tasks are included and can be modified for user’s needs.  Full instructions and examples can be found in the README file.";"Model M is an agent-based epidemic model for COVID-19 computational experiments on realistic multi-graph social networks. It allows to simulate projections of main epidemic indicators with respect to various interventions. These include lock-downs, closures of different contact layers (leisure, schools, etc.), social distancing, testing and quarantine, contact tracing, and vaccination. The level of configurable parameters, including custom contact graphs, is a unique feature of this tool.  Available under  GNU General Public License v3.0.";;;;;;
0557330;J;"Berec, Luděk - Levínský, R. - Weiner, J. - Šmíd, Martin - Neruda, Roman - Vidnerová, Petra - Suchopárová, Gabriela";;"Importance of vaccine action and availability and epidemic severity for delaying the second vaccine dose";"Scientific Reports";"Roč. 12, č. 1 (2022)";;2045-2322;4.600;"TL04000282:GA TA ČR";;"RVO:60077344, RVO:67985556, RVO:67985807";1;2022;2023;BC-A;;;;;;10.1038/s41598-022-11250-4;000793383600002;35538118;85129879793
0535816;L4;"Coufal, David - Hakl, František - Vidnerová, Petra";;"General-purpose algorithms for machine learning";;;;;;"TN01000024:GA TA ČR";;RVO:67985807;1;2020;2021;UIVT-O;TN01000024/03-V001;"Program spustitelný z příkazové řádky, vyžaduje Python a běžné dostupné výpočetní knihovny. Úlohu lze definovat v textovém souboru ve formátu YAML. Vzhledem k výpočetní náročnosti doporučeno využití GPU nebo výpočetního clusteru s více CPU.";"Knihovna obsahuje dvě části. Skripty věnované rozšiřování datové základny pro učení navigace robota (GANs) a část zabývající se hledáním optimální architektury neuronových sítí (AnANAS). Rozšiřování datové základny je prováděno pomocí generativních neuronových sítí. Jsou implementovány architektury DCGAN a LSGAN v nepodmíněné i podmíněné verzi. Kvalita učení je monitorována pomocí FID skóre. AnANAS část je určena pro experimenty s hledáním optimální architektury hluboké neuronové sítě, jak s plně propojenými vrstvami tak sítě konvoluční. Umožňuje více-kriteriální optimalizaci, nabízí tři verze více-kriteriální optimalizace (NSGA, NSGA-II, NSGA-III) a implementaci základního standardního genetického algoritmu. Umožňuje paralelní výpočet na GPU nebo s využitím několika CPU.";;;;;;
0565499;L4;"Coufal, David - Hakl, František - Vidnerová, Petra";;"General-purpose Library of ML/AI Methods";;;;;;"TN01000024:GA TA ČR";;RVO:67985807;1;2022;2023;UIVT-O;TN01000024/03-V005;"Kolekce programů a skriptů spustitelných z příkazové řádky, vyžaduje Python a běžně dostupné výpočetní knihovny. Zadání se definuje v textovém souboru, typicky ve formátu YAML. Vzhledem k výpočetní náročnosti doporučeno využití GPU nebo výpočetního clusteru s více CPU.";"Knihovna obsahuje dvě části. Skripty věnované rozšiřování datové základny pro učení navigace robota (GANs) a část zabývající se hledáním optimální architektury neuronových sítí (AnANAS).  Rozšiřování datové základny je prováděno pomocí generativních neuronových sítí. Jsou implementovány architektury DCGAN a LSGAN v nepodmíněné i podmíněné verzi. Kvalita učení je monitorována pomocí FID skóre. AnANAS část je určena pro experimenty s hledáním optimální architektury hluboké neuronové sítě, jak s plně propojenými vrstvami tak sítě konvoluční. Umožňuje více-kriteriální optimalizaci, nabízí tři verze více-kriteriální optimalizace (NSGA, NSGA-II, NSGA-III) a implementaci základního standardního genetického algoritmu. Umožňuje paralelní výpočet na GPU nebo s využitím několika CPU.";;;;;;
0565500;L4;"Coufal, David - Hakl, František - Vidnerová, Petra";;"General-purpose Library of ML/AI Methods for CUDA Cores";;;;;;"TN01000024:GA TA ČR";;RVO:67985807;1;2022;2023;UIVT-O;TN01000024/03-V009;"Refaktorovaný kód je poskytnut ve formě MATLAB MEX souborů. Ke spuštění vyžaduje MATLAB. Použití se řídí příslušnými licenčními podmínkami Akademické licence MATLABu.";"Refaktorizace Python + TensorFlow kódu do nativního CUDA kódu pomocí MATLAB GPU Coderu. Urychlení inference implementace neuronových sítí.";;;;;;
0315167;C;"Gemrot, J. - Kadlec, R. - Brom, C. - Vidnerová, Petra";;"Evoluce chování agentů v 3D prostředí";"Informačné technológie - Aplikácie a teória";"S. 3-10";978-80-969184-8-5;;;"1ET100300517:GA AV ČR - 1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;;;;
0518369;L4;"Jurica, Tomáš - Vidnerová, Petra - Kalina, Jan";;"Robust interquantile training of neural networks";;;;;;"GA19-05704S:GA ČR - TN01000024:GA TA ČR";;RVO:67985807;1;2019;2020;UIVT-O;"Quantile 1.0";"Kód v Pythonu je samostatně spustitelný, vyžaduje instalaci TensorFlow, Keras, SciPy, NumPy, scikit-learn. Spuštění kódu je přímočaré podle dokumentace. Dostupné pod licencí MIT.";"Software umožňuje uživateli provést alternativní trénování neuronových sítí, které je robustní vůči odlehlým hodnotám. Jde dosud o první takovou implementaci, která je dostupná. Software výrazně usnadňuje práci s neuronovými sítěmi, protože provádět jejich trénování nezávisle na přítomnosti odlehlých hodnot by jinak vyžadovalo značně komplikované a zdlouhavé postupy.";;;;;;
0544026;C;"Kalina, Jan - Vidnerová, Petra - Tichavský, Jan";;"A Comparison of Trend Estimators under Heteroscedasticity";"Artificial Intelligence and Soft Computing. ICAISC 2021 Proceedings, Part I";"S. 89-98";978-3-030-87985-3;0302-9743;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;10.1007/978-3-030-87986-0_8;;;85117522261
